0,1,2,3,4,5,6
ID,Age,Income ($),Score,Purchase Frequency,Years as Customer,Satisfaction (%)
1,31,35572,704,4,15,79
2,57,73550,450,23,10,64
3,46,68118,639,14,20,96
4,48,29642,705,3,16,77
5,33,149263,773,12,4,74
6,26,63866,545,20,16,58
7,56,69830,710,11,10,94
8,28,116244,831,26,15,71
9,66,50022,486,4,8,88
10,62,146157,782,16,15,75
11,22,54835,585,26,18,55
12,44,133815,506,28,20,70
13,58,50407,754,7,9,84
14,44,54780,801,15,13,83
15,56,62417,542,11,3,54
16,34,76598,411,20,6,93
17,33,33513,313,3,6,53
18,63,127401,657,8,11,77
19,67,103011,561,14,14,51
20,57,107873,533,3,10,58
21,36,100273,761,10,20,94
22,23,146992,515,14,0,67
23,27,85130,774,13,0,70
24,26,97122,525,6,17,96
25,39,130370,525,21,0,58
26,45,141362,691,12,4,58
27,43,42020,473,7,3,51
28,63,51581,720,16,19,83
29,36,62935,603,14,10,57
30,46,61613,552,10,1,51
31,24,48372,794,1,15,72
32,41,122541,658,27,6,60
33,48,66582,801,20,14,56
34,70,78075,369,24,16,80
35,39,69139,819,3,14,71
